first_name,email,date,code_time,code_attempts,soft_index,tech_index
Will,wcauson0@jiathis.com,2018-04-19,213,3,1,6
Lorine,lradmore1@answers.com,2018-08-18,2728,8,10,9
Cobb,ckensitt2@opera.com,2018-11-13,799,9,3,10
Coop,cmatej3@ibm.com,2018-08-10,916,1,2,9
Giacopo,gtwiddy4@nasa.gov,2018-07-18,2039,2,6,3
Helen-elizabeth,hgaw5@google.cn,2018-12-14,1895,3,4,9
Mimi,mpoltone6@cdbaby.com,2018-06-05,2481,3,7,4
Dill,dferrillo7@comsenz.com,2018-11-12,253,7,5,8
Jerri,jnosworthy8@yahoo.co.jp,2018-08-29,1033,6,2,4
Lynett,lklimecki9@google.ca,2018-05-15,2391,1,2,10
Derwin,deglaisea@cnbc.com,2018-08-27,2767,3,4,2
Aveline,aberlinb@bbc.co.uk,2019-01-03,3088,1,4,8
Belia,bposkittc@mysql.com,2018-09-22,533,3,10,8
Hyman,hvanichevd@census.gov,2018-06-30,2763,10,6,7
Suellen,shagstone@nytimes.com,2018-04-12,1527,1,3,4
Ravid,rgoodounef@seattletimes.com,2018-09-26,1219,8,10,3
Lotty,lodellg@washingtonpost.com,2018-06-18,1316,2,7,2
Forbes,ftonnerh@elegantthemes.com,2018-09-23,473,10,3,4
Anjela,arodenhursti@i2i.jp,2018-07-17,1959,1,5,10
Adan,amcrillj@studiopress.com,2018-10-18,812,5,9,9
Burg,bguinanek@ca.gov,2018-03-28,2631,4,10,9
Orlan,oannisl@springer.com,2019-01-12,1647,3,7,6
Kenton,kheersm@independent.co.uk,2018-02-07,2086,6,8,10
Thaddeus,tacorsn@gov.uk,2018-02-07,1160,2,2,2
Konstantine,kainscowo@theguardian.com,2018-03-26,1784,8,10,7
Lauren,lspaduccip@so-net.ne.jp,2018-04-05,667,2,6,6
Luce,lenrigoq@who.int,2018-10-23,1309,3,9,9
Gav,gfrenzelr@princeton.edu,2018-04-04,1671,10,5,1
Daniel,dwyrills@elpais.com,2018-09-20,1144,2,10,2
Nell,nsackettt@noaa.gov,2018-08-13,2269,4,1,8
Selena,sguyu@wunderground.com,2018-05-02,2733,6,2,9
Dylan,dburrettv@gov.uk,2018-11-07,640,10,2,7
Charity,canyonw@icq.com,2018-08-10,1594,10,10,7
Mavra,mgerritx@mapquest.com,2018-06-27,2940,2,4,2
Datha,dsjostromy@cisco.com,2018-02-03,3065,8,3,6
Gran,gtemplez@columbia.edu,2018-03-12,530,4,9,1
Currie,cfinicj10@baidu.com,2018-04-11,2338,2,10,8
Gretal,gbonny11@a8.net,2018-04-16,2916,6,8,7
Gawain,gcrole12@youku.com,2019-02-01,474,5,8,7
Irina,ielks13@nba.com,2018-03-28,2307,1,6,7
Mellisent,mprys14@google.co.jp,2018-09-18,204,4,8,6
Renae,rpietruszka15@simplemachines.org,2018-08-18,3336,2,7,3
Doralynne,dcamili16@ocn.ne.jp,2018-09-09,2807,6,7,3
Rodrique,rnolda17@uiuc.edu,2018-11-04,3272,6,9,10
Zarla,zwainscot18@oracle.com,2018-04-01,3384,6,8,4
Jenna,jogelbe19@blinklist.com,2018-05-18,2763,7,2,9
Malina,maxup1a@nyu.edu,2018-06-30,612,4,8,7
Kimberlyn,kgircke1b@baidu.com,2018-02-18,436,1,2,4
Donielle,dmcelvogue1c@cbc.ca,2018-02-24,1853,4,5,9
